prev_cell,current_cell,pair_count,pair_frequency,kl_divergence,excluded_reason
9,11,238,0.00165485,0.15888022,
9,12,5,3.477e-05,,N<10
9,13,0,0.0,,N<10
9,14,3,2.086e-05,,N<10
9,15,1,6.95e-06,,N<10
9,16,0,0.0,,N<10
9,17,2669,0.01855792,0.03241618,
9,18,0,0.0,,N<10
9,19,26,0.00018078,1.42326502,
10,0,0,0.0,,N<10
10,1,52,0.00036156,0.64658234,
10,2,2,1.391e-05,,N<10
10,3,0,0.0,,N<10
10,4,55,0.00038242,0.05023805,
10,5,0,0.0,,N<10
10,6,0,0.0,,N<10
10,7,2,1.391e-05,,N<10
10,8,0,0.0,,N<10
10,9,0,0.0,,N<10
10,10,168,0.00116813,0.08202475,
10,11,0,0.0,,N<10
10,12,0,0.0,,N<10
10,13,0,0.0,,N<10
10,14,0,0.0,,N<10
10,15,3,2.086e-05,,N<10
10,16,0,0.0,,N<10
10,17,0,0.0,,N<10
10,18,1,6.95e-06,,N<10
10,19,0,0.0,,N<10
11,0,10,6.953e-05,1.54848479,
11,1,0,0.0,,N<10
11,2,326,0.00226672,0.01405337,
11,3,67,0.00046586,0.4672928,
11,4,0,0.0,,N<10
11,5,1253,0.00871228,0.04072978,
11,6,5,3.477e-05,,N<10
11,7,0,0.0,,N<10
11,8,2,1.391e-05,,N<10
11,9,193,0.00134196,0.52462958,
11,10,0,0.0,,N<10
11,11,3727,0.02591434,0.01120848,
11,12,0,0.0,,N<10
11,13,0,0.0,,N<10
11,14,35,0.00024336,0.36282671,
11,15,1,6.95e-06,,N<10
11,16,0,0.0,,N<10
11,17,88,0.00061188,0.39347458,
11,18,0,0.0,,N<10
11,19,2,1.391e-05,,N<10
12,0,51,0.00035461,2.78143529,
12,1,0,0.0,,N<10
12,2,3,2.086e-05,,N<10
12,3,26,0.00018078,3.21296791,
12,4,0,0.0,,N<10
12,5,12,8.344e-05,2.01703936,
12,6,2,1.391e-05,,N<10
12,7,0,0.0,,N<10
12,8,99,0.00068836,0.05974981,
12,9,8,5.563e-05,,N<10
12,10,0,0.0,,N<10
12,11,7,4.867e-05,,N<10
12,12,754,0.00524266,0.03918349,
12,13,0,0.0,,N<10
12,14,1,6.95e-06,,N<10
12,15,0,0.0,,N<10
12,16,2,1.391e-05,,N<10
12,17,13,9.039e-05,4.56941876,
12,18,0,0.0,,N<10
12,19,191,0.00132805,0.66652558,
13,0,0,0.0,,N<10
13,1,0,0.0,,N<10
13,2,0,0.0,,N<10
13,3,0,0.0,,N<10
13,4,0,0.0,,N<10
13,5,0,0.0,,N<10
13,6,0,0.0,,N<10
13,7,0,0.0,,N<10
13,8,1,6.95e-06,,N<10
13,9,0,0.0,,N<10
13,10,0,0.0,,N<10
13,11,0,0.0,,N<10
13,12,0,0.0,,N<10
13,13,0,0.0,,N<10
13,14,0,0.0,,N<10
13,15,0,0.0,,N<10
13,16,0,0.0,,N<10
13,17,0,0.0,,N<10
13,18,0,0.0,,N<10
13,19,0,0.0,,N<10
14,0,3,2.086e-05,,N<10
14,1,1,6.95e-06,,N<10
14,2,133,0.00092477,0.07123825,
14,3,5,3.477e-05,,N<10
14,4,1,6.95e-06,,N<10
14,5,12,8.344e-05,1.03153172,
14,6,189,0.00131414,0.10574936,
14,7,0,0.0,,N<10
14,8,0,0.0,,N<10
14,9,7,4.867e-05,,N<10
14,10,2,1.391e-05,,N<10
14,11,44,0.00030594,0.81422945,
14,12,1,6.95e-06,,N<10
14,13,0,0.0,,N<10
14,14,585,0.00406758,0.04554372,
14,15,25,0.00017383,0.94745426,
14,16,0,0.0,,N<10
14,17,10,6.953e-05,0.53988825,
14,18,0,0.0,,N<10
14,19,2,1.391e-05,,N<10
15,0,1,6.95e-06,,N<10
15,1,129,0.00089695,0.1153682,
15,2,2,1.391e-05,,N<10
15,3,0,0.0,,N<10
15,4,1,6.95e-06,,N<10
15,5,0,0.0,,N<10
15,6,81,0.0005632,0.36114202,
15,7,0,0.0,,N<10
15,8,1,6.95e-06,,N<10
15,9,1,6.95e-06,,N<10
15,10,20,0.00013906,1.19733456,
15,11,1,6.95e-06,,N<10
15,12,0,0.0,,N<10
15,13,0,0.0,,N<10
15,14,21,0.00014602,1.88187335,
15,15,260,0.00180782,0.05435748,
15,16,0,0.0,,N<10
15,17,0,0.0,,N<10
15,18,0,0.0,,N<10
15,19,0,0.0,,N<10
16,0,1,6.95e-06,,N<10
16,1,0,0.0,,N<10
16,2,2,1.391e-05,,N<10
16,3,0,0.0,,N<10
16,4,0,0.0,,N<10
16,5,0,0.0,,N<10
16,6,0,0.0,,N<10
16,7,0,0.0,,N<10
16,8,20,0.00013906,0.37211014,
16,9,1,6.95e-06,,N<10
16,10,0,0.0,,N<10
16,11,2,1.391e-05,,N<10
16,12,7,4.867e-05,,N<10
16,13,0,0.0,,N<10
16,14,0,0.0,,N<10
16,15,0,0.0,,N<10
16,16,15,0.0001043,0.15533132,
16,17,0,0.0,,N<10
16,18,0,0.0,,N<10
16,19,0,0.0,,N<10
17,0,93,0.00064664,0.50696841,
17,1,0,0.0,,N<10
17,2,22,0.00015297,0.43100063,
17,3,6014,0.04181616,0.01674762,
17,4,0,0.0,,N<10
17,5,320,0.002225,0.0941202,
17,6,3,2.086e-05,,N<10
17,7,0,0.0,,N<10
17,8,1,6.95e-06,,N<10
17,9,2520,0.0175219,0.01638886,
17,10,0,0.0,,N<10
17,11,102,0.00070922,0.29280927,
17,12,11,7.648e-05,0.29801772,
17,13,0,0.0,,N<10
17,14,5,3.477e-05,,N<10
17,15,0,0.0,,N<10
17,16,0,0.0,,N<10
17,17,23722,0.16494229,0.00417118,
17,18,0,0.0,,N<10
17,19,38,0.00026422,1.02340016,
18,0,0,0.0,,N<10
18,1,0,0.0,,N<10
18,2,0,0.0,,N<10
18,3,0,0.0,,N<10
18,4,1,6.95e-06,,N<10
18,5,0,0.0,,N<10
18,6,0,0.0,,N<10
18,7,1,6.95e-06,,N<10
18,8,0,0.0,,N<10
18,9,0,0.0,,N<10
18,10,0,0.0,,N<10
18,11,0,0.0,,N<10
18,12,0,0.0,,N<10
18,13,0,0.0,,N<10
18,14,0,0.0,,N<10
18,15,0,0.0,,N<10
18,16,0,0.0,,N<10
18,17,0,0.0,,N<10
18,18,4,2.781e-05,,N<10
18,19,0,0.0,,N<10
19,0,1512,0.01051314,0.05658804,
19,1,0,0.0,,N<10
19,2,4,2.781e-05,,N<10
19,3,95,0.00066055,1.78910145,
19,4,0,0.0,,N<10
19,5,19,0.00013211,1.93851866,
19,6,0,0.0,,N<10
19,7,0,0.0,,N<10
19,8,7,4.867e-05,,N<10
19,9,52,0.00036156,1.90441656,
19,10,0,0.0,,N<10
19,11,8,5.563e-05,,N<10
19,12,141,0.00098039,0.0690854,
19,13,0,0.0,,N<10
19,14,2,1.391e-05,,N<10
19,15,0,0.0,,N<10
19,16,0,0.0,,N<10
19,17,45,0.00031289,1.61084215,
19,18,0,0.0,,N<10
19,19,7131,0.04958281,0.0080229,
